release_platform_id,release_id,platform_id,sort_date,release_label,source_ref,notes
URP001,UR001,ps5,2026-04-17,"Apr 17, 2026",https://www.capcom-games.com/pragmata/,Official release timing for PlayStation 5.
URP002,UR001,xbox_series_xs,2026-04-17,"Apr 17, 2026",https://www.capcom-games.com/pragmata/,Official release timing for Xbox Series X|S.
URP003,UR001,pc,2026-04-17,"Apr 17, 2026",https://www.capcom-games.com/pragmata/,Official release timing for PC.
URP004,UR002,ps5,2026-05-27,"May 27, 2026",https://ioi.dk/007firstlightgame/,Official release timing for PlayStation 5.
URP005,UR002,xbox_series_xs,2026-05-27,"May 27, 2026",https://ioi.dk/007firstlightgame/,Official release timing for Xbox Series X|S.
URP006,UR002,switch_2,2026-05-27,"May 27, 2026",https://ioi.dk/007firstlightgame/,Official release timing for Nintendo Switch 2.
URP007,UR002,pc,2026-05-27,"May 27, 2026",https://ioi.dk/007firstlightgame/,Official release timing for PC.
