asset_id,game_id,title,source_type,source_ref,cover_path,resolved_image_url,download_status,notes
GCA085,astral_chain,Astral Chain,ggapp_export,https://ggapp.io/games/UjgKhe/astral-chain,/covers/games/astral_chain.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1VqZ0toZS8zYTUyMmY2NC01MDU3LTRiMmMtOTc2NC1mMzg3YTQwYzk1MzQucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/UjgKhe/astral-chain).
GCA320,astria_ascending,Astria Ascending,ggapp_export,https://ggapp.io/games/Gzeof5/astria-ascending,/covers/games/astria_ascending.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL0d6ZW9mNS9hODY0NDc4Ni05MzQxLTQ5ODAtODVkOC1mNGQyODRkNTE1YjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/Gzeof5/astria-ascending).
GCA198,axiom_verge,Axiom Verge,wikipedia_search,,/covers/games/axiom_verge.png,,downloaded,Auto-generated game cover row.
GCA199,axiom_verge_2,Axiom Verge 2,wikipedia_search,,/covers/games/axiom_verge_2.jpg,,downloaded,Auto-generated game cover row.
GCA163,balatro,Balatro,wikipedia_search,,/covers/games/balatro.jpg,,downloaded,Auto-generated game cover row.
GCA168,bastion,Bastion,,,,,,Auto-generated game cover row.
GCA083,baten_kaitos_i_and_ii,Baten Kaitos I and II,ggapp_export,https://ggapp.io/games/TSbkOS/baten-kaitos-i-ii-hd-remaster,/covers/games/baten_kaitos_i_and_ii.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1RTYmtPUy8xNjU3MTUzMi04NjlkLTRkZjUtYmQxNi1hNTA5MGIxYTliOTYuanBlZyIsImVkaXRzIjp7InRvRm9ybWF0IjoianBnIiwianBlZyI6eyJxdWFsaXR5Ijo4MCwiY2hyb21hU3Vic2FtcGxpbmciOiI0OjQ6NCJ9LCJyZXNpemUiOnsid2lkdGgiOjMxNiwiaGVpZ2h0Ijo0NzR9fX0=,downloaded,Matched from GG App export by alias title reference (https://ggapp.io/games/TSbkOS/baten-kaitos-i-ii-hd-remaster).
GCA291,baten_kaitos_origins,Baten Kaitos Origins,ggapp_export,https://ggapp.io/games/0F2UQI/baten-kaitos-origins,/covers/games/baten_kaitos_origins.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzLzBGMlVRSS84YjM1YWYwNy04YWM1LTRlN2ItYTYxYy1mOTRlNzU1NzVmYmQucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/0F2UQI/baten-kaitos-origins).
GCA292,baten_kaitos_eternal_wings_and_the_lost_ocean,Baten Kaitos: Eternal Wings and the Lost Ocean,ggapp_export,https://ggapp.io/games/jGP7s5/baten-kaitos-eternal-wings-and-the-lost-ocean,/covers/games/baten_kaitos_eternal_wings_and_the_lost_ocean.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2pHUDdzNS8xMmQyMGI4OS1iZTVlLTRmYjEtYmM4Ny1jMGM0YmNhMzExZDUucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/jGP7s5/baten-kaitos-eternal-wings-and-the-lost-ocean).
GCA294,batman_arkham_asylum,Batman: Arkham Asylum,ggapp_export,https://ggapp.io/games/6kI1K3/batman-arkham-asylum,/covers/games/batman_arkham_asylum.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzLzZrSTFLMy9iYjBhNDUyOS1jMDkwLTQ3OTUtYThlNC1iZTVlNmIxOWRiYTAuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/6kI1K3/batman-arkham-asylum).
GCA096,bayonetta,Bayonetta,ggapp_export,https://ggapp.io/games/GNUEKO/bayonetta,/covers/games/bayonetta.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL0dOVUVLTy8zMDNiZTJjYS1jOWRiLTQyODgtOTVmOS05ZDM3NGFhMjkyMGEuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/GNUEKO/bayonetta).
GCA097,bayonetta_2,Bayonetta 2,ggapp_export,https://ggapp.io/games/guCgGH/bayonetta-2,/covers/games/bayonetta_2.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2d1Q2dHSC9hZmZmNTMyNS1jZjE5LTRlODktYWFhNi05OWFmNGUwMzc3NzIucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/guCgGH/bayonetta-2).
GCA098,bayonetta_3,Bayonetta 3,ggapp_export,https://ggapp.io/games/0A7Irr/bayonetta-3,/covers/games/bayonetta_3.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzLzBBN0lyci85MWUxY2M3ZC03Mjg1LTQwMjktYTJmZC1lOWVkMjQ1M2U4ZGMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/0A7Irr/bayonetta-3).
GCA193,blasphemous,Blasphemous,wikipedia_search,,/covers/games/blasphemous.jpg,,downloaded,Auto-generated game cover row.
GCA194,blasphemous_2,Blasphemous 2,wikipedia_search,,/covers/games/blasphemous_2.jpg,,downloaded,Auto-generated game cover row.
GCA192,bloodstained_ritual_of_the_night,Bloodstained: Ritual of the Night,wikipedia_search,,/covers/games/bloodstained_ritual_of_the_night.jpg,,downloaded,Auto-generated game cover row.
GCA172,blue_dragon,Blue Dragon,wikipedia_search,,/covers/games/blue_dragon.jpeg,,downloaded,Auto-generated game cover row.
GCA087,bravely_default,Bravely Default,ggapp_export,https://ggapp.io/games/76bxUD/bravely-default,/covers/games/bravely_default.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzLzc2YnhVRC8zNTMyNzZhOC1lZWU2LTRmYTktOTFmNi1kYTY0MzE1MDNkZWIuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/76bxUD/bravely-default).
GCA141,bravely_second,Bravely Second,wikipedia_search,,/covers/games/bravely_second.jpg,,downloaded,Auto-generated game cover row.
GCA160,breath_of_fire_iv,Breath of Fire IV,wikipedia_search,,/covers/games/breath_of_fire_iv.png,,downloaded,Auto-generated game cover row.
GCA250,broken_age,Broken Age,ggapp_export,https://ggapp.io/games/UzbSNR/broken-age-the-complete-adventure,/covers/games/broken_age.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1V6YlNOUi85NDM5OTM0My1hYzA3LTQ5MTktYjAwYy00MGRhMTAyYWU2NjMucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Matched from GG App export by alias title reference (https://ggapp.io/games/UzbSNR/broken-age-the-complete-adventure).
